dataset_index,image_id,num_ground_truth_objects,num_difficult_objects_ignored,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,matched_iou_sum,mean_matched_iou,mean_prediction_confidence,confidence_threshold,iou_threshold
11,2007_000363,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.8046945745326601,0.9023472872663301,0.5231764415899912,0.25,0.5
31,2007_000904,2,1,4,1,3,1,0.25,0.5,0.3333333333333333,0.803141634473409,0.803141634473409,0.5224794000387192,0.25,0.5
88,2007_002895,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.5056691744102908,0.7528345872051454,0.48074092467625934,0.25,0.5
99,2007_003191,1,0,1,1,0,0,1.0,1.0,1.0,0.9780103435655093,0.9780103435655093,0.9208947420120239,0.25,0.5
127,2007_004166,2,6,8,1,7,1,0.125,0.5,0.2,0.8194823996819041,0.8194823996819041,0.6644443422555923,0.25,0.5
160,2007_005262,3,0,5,3,2,0,0.6,1.0,0.7499999999999999,2.603670015308769,0.867890005102923,0.6132830619812012,0.25,0.5
165,2007_005360,2,0,4,2,2,0,0.5,1.0,0.6666666666666666,1.8280390234595334,0.9140195117297667,0.6928971037268639,0.25,0.5
167,2007_005430,2,1,2,2,0,0,1.0,1.0,1.0,1.7089328965079,0.85446644825395,0.896357536315918,0.25,0.5
187,2007_006281,2,0,6,1,5,1,0.16666666666666666,0.5,0.25,0.8277036484592774,0.8277036484592774,0.4193879117568334,0.25,0.5
189,2007_006317,3,0,4,3,1,0,0.75,1.0,0.8571428571428571,2.5988818672369725,0.8662939557456575,0.6830194592475891,0.25,0.5
195,2007_006490,4,1,4,3,1,1,0.75,0.75,0.75,2.2871641899354462,0.7623880633118154,0.5547986552119255,0.25,0.5
196,2007_006530,4,2,6,3,3,1,0.5,0.75,0.6,2.692509632380814,0.8975032107936047,0.5164519647757212,0.25,0.5
202,2007_006660,3,0,5,3,2,0,0.6,1.0,0.7499999999999999,2.6288991155660395,0.8762997051886798,0.5168588936328888,0.25,0.5
204,2007_006673,10,2,24,8,16,2,0.3333333333333333,0.8,0.47058823529411764,6.0171242014631785,0.7521405251828973,0.3761361042658488,0.25,0.5
210,2007_006899,3,0,3,3,0,0,1.0,1.0,1.0,2.87225863188291,0.95741954396097,0.8228017091751099,0.25,0.5
211,2007_006900,4,2,6,4,2,0,0.6666666666666666,1.0,0.8,3.604081817109983,0.9010204542774958,0.7417939404646555,0.25,0.5
214,2007_007021,3,2,9,3,6,0,0.3333333333333333,1.0,0.5,2.5904540410384214,0.8634846803461405,0.651277545425627,0.25,0.5
215,2007_007048,5,2,7,4,3,1,0.5714285714285714,0.8,0.6666666666666666,3.5864830923168807,0.8966207730792202,0.7225971562521798,0.25,0.5
220,2007_007355,3,0,6,3,3,0,0.5,1.0,0.6666666666666666,2.16871792798894,0.7229059759963133,0.4979617993036906,0.25,0.5
251,2007_008142,2,0,2,2,0,0,1.0,1.0,1.0,1.9000962787017779,0.9500481393508889,0.8385060727596283,0.25,0.5
284,2007_009436,2,1,4,2,2,0,0.5,1.0,0.6666666666666666,1.808322010588698,0.904161005294349,0.534388855099678,0.25,0.5
317,2008_000103,1,0,1,1,0,0,1.0,1.0,1.0,0.9637291998836021,0.9637291998836021,0.9192530512809753,0.25,0.5
325,2008_000207,1,0,1,1,0,0,1.0,1.0,1.0,0.9796839108152466,0.9796839108152466,0.9090331792831421,0.25,0.5
331,2008_000273,4,0,1,1,0,3,1.0,0.25,0.4,0.8893275839643106,0.8893275839643106,0.3432426154613495,0.25,0.5
352,2008_000540,1,0,1,1,0,0,1.0,1.0,1.0,0.9807038797277651,0.9807038797277651,0.9359699487686157,0.25,0.5
356,2008_000584,1,0,1,1,0,0,1.0,1.0,1.0,0.801010511574665,0.801010511574665,0.8991696238517761,0.25,0.5
358,2008_000595,1,0,1,1,0,0,1.0,1.0,1.0,0.9446971358266892,0.9446971358266892,0.9345478415489197,0.25,0.5
360,2008_000645,1,0,1,1,0,0,1.0,1.0,1.0,0.9517040396475624,0.9517040396475624,0.5222866535186768,0.25,0.5
375,2008_000923,1,0,1,1,0,0,1.0,1.0,1.0,0.8297218530672686,0.8297218530672686,0.5420414805412292,0.25,0.5
400,2008_001462,1,0,1,1,0,0,1.0,1.0,1.0,0.740906913639017,0.740906913639017,0.8682404160499573,0.25,0.5
431,2008_002123,8,2,8,6,2,2,0.75,0.75,0.75,5.478821152634983,0.9131368587724972,0.7189703434705734,0.25,0.5
440,2008_002221,1,0,1,1,0,0,1.0,1.0,1.0,0.9827637416954598,0.9827637416954598,0.9424401521682739,0.25,0.5
444,2008_002258,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
456,2008_002710,1,0,1,1,0,0,1.0,1.0,1.0,0.9815464791772196,0.9815464791772196,0.9046313166618347,0.25,0.5
469,2008_003060,4,2,7,4,3,0,0.5714285714285714,1.0,0.7272727272727273,3.3560829526988867,0.8390207381747217,0.6464508303574154,0.25,0.5
474,2008_003094,4,0,5,3,2,1,0.6,0.75,0.6666666666666665,2.6810432006779,0.8936810668926333,0.778411477804184,0.25,0.5
490,2008_003523,3,3,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7560616306184037,0.7560616306184037,0.5340810120105743,0.25,0.5
492,2008_003585,1,0,2,1,1,0,0.5,1.0,0.6666666666666666,0.8799452444990855,0.8799452444990855,0.7073836922645569,0.25,0.5
520,2008_004547,1,0,1,1,0,0,1.0,1.0,1.0,0.93278869730374,0.93278869730374,0.9068661332130432,0.25,0.5
544,2008_005300,1,0,1,1,0,0,1.0,1.0,1.0,0.9681787985405667,0.9681787985405667,0.8734581470489502,0.25,0.5
545,2008_005321,1,0,2,1,1,0,0.5,1.0,0.6666666666666666,0.7505910297733545,0.7505910297733545,0.6334769278764725,0.25,0.5
552,2008_005600,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.527753667588159,0.7638768337940794,0.3686382869879405,0.25,0.5
556,2008_005679,1,0,1,1,0,0,1.0,1.0,1.0,0.9043703277871957,0.9043703277871957,0.6410862803459167,0.25,0.5
565,2008_005843,1,0,1,1,0,0,1.0,1.0,1.0,0.9673975273875536,0.9673975273875536,0.8569774031639099,0.25,0.5
588,2008_006482,1,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.9248995384658943,0.9248995384658943,0.8170915842056274,0.25,0.5
613,2008_007428,2,1,2,2,0,0,1.0,1.0,1.0,1.6085626956571208,0.8042813478285604,0.4987927973270416,0.25,0.5
637,2009_000006,1,0,1,1,0,0,1.0,1.0,1.0,0.9718449035397723,0.9718449035397723,0.9588510394096375,0.25,0.5
664,2009_000553,1,0,1,1,0,0,1.0,1.0,1.0,0.9616639172957631,0.9616639172957631,0.9302698373794556,0.25,0.5
691,2009_001085,2,0,1,1,0,1,1.0,0.5,0.6666666666666666,0.9163045957035927,0.9163045957035927,0.7517752051353455,0.25,0.5
699,2009_001140,2,0,2,2,0,0,1.0,1.0,1.0,1.8219871844798181,0.9109935922399091,0.7370121777057648,0.25,0.5
