dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_name,true_positives,false_positives,false_negatives,num_predictions,num_ground_truth_objects
11,2007_000363,gaussian_noise,mild,10.0,23.892595577342878,bird,2,0,0,2,2
11,2007_000363,gaussian_noise,medium,25.0,16.127915441235,bird,0,0,2,0,2
11,2007_000363,gaussian_noise,severe,50.0,10.542400491133147,bird,0,0,2,0,2
11,2007_000363,jpeg_compression,mild,50.0,30.42047068889568,bird,0,1,2,1,2
11,2007_000363,jpeg_compression,medium,20.0,27.612431774910903,bird,1,2,1,3,2
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,bird,0,0,2,0,2
11,2007_000363,low_light,mild,0.6,7.92907433661893,bird,2,0,0,2,2
11,2007_000363,low_light,medium,0.35,3.7122772204443333,bird,2,0,0,2,2
11,2007_000363,low_light,severe,0.15,1.3892853182377176,bird,2,1,0,3,2
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,cow,1,2,0,3,1
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,dog,0,1,0,1,0
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,person,0,0,1,0,1
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,sheep,0,1,0,1,0
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,cow,1,2,0,3,1
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,horse,0,1,0,1,0
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,person,0,0,1,0,1
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,cow,0,0,1,0,1
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,horse,0,2,0,2,0
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,person,0,0,1,0,1
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,cow,1,0,0,1,1
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,horse,0,1,0,1,0
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,person,0,0,1,0,1
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,cow,0,0,1,0,1
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,horse,0,2,0,2,0
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,person,0,0,1,0,1
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,cow,0,0,1,0,1
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,person,0,0,1,0,1
31,2007_000904,low_light,mild,0.6,7.910607546759138,cow,1,1,0,2,1
31,2007_000904,low_light,mild,0.6,7.910607546759138,horse,0,1,0,1,0
31,2007_000904,low_light,mild,0.6,7.910607546759138,person,0,0,1,0,1
31,2007_000904,low_light,medium,0.35,3.7035795470484345,cow,1,1,0,2,1
31,2007_000904,low_light,medium,0.35,3.7035795470484345,horse,0,1,0,1,0
31,2007_000904,low_light,medium,0.35,3.7035795470484345,person,0,0,1,0,1
31,2007_000904,low_light,severe,0.15,1.3830270819092592,cow,1,0,0,1,1
31,2007_000904,low_light,severe,0.15,1.3830270819092592,person,0,1,1,1,1
88,2007_002895,gaussian_noise,mild,10.0,23.437240101675698,person,2,1,0,3,2
88,2007_002895,gaussian_noise,medium,25.0,15.636114259161042,person,1,0,1,1,2
88,2007_002895,gaussian_noise,severe,50.0,9.931906971637837,person,1,0,1,1,2
88,2007_002895,jpeg_compression,mild,50.0,24.502196175048265,person,2,1,0,3,2
88,2007_002895,jpeg_compression,medium,20.0,21.610210270589654,person,2,1,0,3,2
