dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,num_ground_truth_objects,num_difficult_objects_ignored,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,matched_iou_sum,mean_matched_iou,confidence_threshold,iou_threshold
11,2007_000363,gaussian_noise,mild,10.0,23.892595577342878,2,0,2,2,0,0,1.0,1.0,1.0,1.7863038792092367,0.8931519396046184,0.25,0.5
11,2007_000363,gaussian_noise,medium,25.0,16.127915441235,2,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
11,2007_000363,gaussian_noise,severe,50.0,10.542400491133147,2,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
11,2007_000363,jpeg_compression,mild,50.0,30.42047068889568,2,0,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
11,2007_000363,jpeg_compression,medium,20.0,27.612431774910903,2,0,3,1,2,1,0.3333333333333333,0.5,0.4,0.9022917843645204,0.9022917843645204,0.25,0.5
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,2,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
11,2007_000363,low_light,mild,0.6,7.92907433661893,2,0,2,2,0,0,1.0,1.0,1.0,1.787857503251121,0.8939287516255605,0.25,0.5
11,2007_000363,low_light,medium,0.35,3.7122772204443333,2,0,2,2,0,0,1.0,1.0,1.0,1.7888564222689003,0.8944282111344501,0.25,0.5
11,2007_000363,low_light,severe,0.15,1.3892853182377176,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.8459433515073287,0.9229716757536643,0.25,0.5
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,2,1,5,1,4,1,0.2,0.5,0.28571428571428575,0.8279136717813075,0.8279136717813075,0.25,0.5
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,2,1,4,1,3,1,0.25,0.5,0.3333333333333333,0.8254248675005905,0.8254248675005905,0.25,0.5
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,2,1,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,2,1,2,1,1,1,0.5,0.5,0.5,0.824673887968902,0.824673887968902,0.25,0.5
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,2,1,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,2,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.25,0.5
31,2007_000904,low_light,mild,0.6,7.910607546759138,2,1,3,1,2,1,0.3333333333333333,0.5,0.4,0.8036034336319134,0.8036034336319134,0.25,0.5
31,2007_000904,low_light,medium,0.35,3.7035795470484345,2,1,3,1,2,1,0.3333333333333333,0.5,0.4,0.8053910507555205,0.8053910507555205,0.25,0.5
31,2007_000904,low_light,severe,0.15,1.3830270819092592,2,1,2,1,1,1,0.5,0.5,0.5,0.825483579111822,0.825483579111822,0.25,0.5
88,2007_002895,gaussian_noise,mild,10.0,23.437240101675698,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.6245501994881697,0.8122750997440848,0.25,0.5
88,2007_002895,gaussian_noise,medium,25.0,15.636114259161042,2,0,1,1,0,1,1.0,0.5,0.6666666666666666,0.5274437242727513,0.5274437242727513,0.25,0.5
88,2007_002895,gaussian_noise,severe,50.0,9.931906971637837,2,0,1,1,0,1,1.0,0.5,0.6666666666666666,0.5476879877105973,0.5476879877105973,0.25,0.5
88,2007_002895,jpeg_compression,mild,50.0,24.502196175048265,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.5709128061436708,0.7854564030718354,0.25,0.5
88,2007_002895,jpeg_compression,medium,20.0,21.610210270589654,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.5075893287653013,0.7537946643826506,0.25,0.5
88,2007_002895,jpeg_compression,severe,5.0,17.79739800291545,2,0,2,2,0,0,1.0,1.0,1.0,1.1580882645431436,0.5790441322715718,0.25,0.5
88,2007_002895,low_light,mild,0.6,7.9239748430724335,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.53501365085577,0.767506825427885,0.25,0.5
88,2007_002895,low_light,medium,0.35,3.7093689597583794,2,0,3,2,1,0,0.6666666666666666,1.0,0.8,1.592928853855398,0.796464426927699,0.25,0.5
88,2007_002895,low_light,severe,0.15,1.3870771014278818,2,0,4,2,2,0,0.5,1.0,0.6666666666666666,1.6216598301174905,0.8108299150587452,0.25,0.5
99,2007_003191,gaussian_noise,mild,10.0,22.318692381321892,1,0,1,1,0,0,1.0,1.0,1.0,0.9770233974420366,0.9770233974420366,0.25,0.5
99,2007_003191,gaussian_noise,medium,25.0,14.522058195395946,1,0,1,1,0,0,1.0,1.0,1.0,0.9776310907917408,0.9776310907917408,0.25,0.5
99,2007_003191,gaussian_noise,severe,50.0,8.902644599899238,1,0,1,1,0,0,1.0,1.0,1.0,0.9724969123542209,0.9724969123542209,0.25,0.5
99,2007_003191,jpeg_compression,mild,50.0,27.926754187313662,1,0,1,1,0,0,1.0,1.0,1.0,0.9780407412801052,0.9780407412801052,0.25,0.5
99,2007_003191,jpeg_compression,medium,20.0,24.9295627319646,1,0,1,1,0,0,1.0,1.0,1.0,0.9765720910733665,0.9765720910733665,0.25,0.5
99,2007_003191,jpeg_compression,severe,5.0,18.677966926383473,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.25,0.5
99,2007_003191,low_light,mild,0.6,7.899995056330299,1,0,1,1,0,0,1.0,1.0,1.0,0.9776610691390576,0.9776610691390576,0.25,0.5
