dataset_index,image_id,num_keypoints,has_descriptors,descriptor_count,keypoint_capacity_fraction
11,2007_000363,981,True,981,0.654
31,2007_000904,1449,True,1449,0.966
88,2007_002895,1460,True,1460,0.9733333333333334
99,2007_003191,1414,True,1414,0.9426666666666667
127,2007_004166,1500,True,1500,1.0
160,2007_005262,1490,True,1490,0.9933333333333333
165,2007_005360,1495,True,1495,0.9966666666666667
167,2007_005430,1500,True,1500,1.0
187,2007_006281,1389,True,1389,0.926
189,2007_006317,1373,True,1373,0.9153333333333333
195,2007_006490,677,True,677,0.4513333333333333
196,2007_006530,1450,True,1450,0.9666666666666667
202,2007_006660,1500,True,1500,1.0
204,2007_006673,1159,True,1159,0.7726666666666666
210,2007_006899,1480,True,1480,0.9866666666666667
211,2007_006900,1480,True,1480,0.9866666666666667
214,2007_007021,1500,True,1500,1.0
215,2007_007048,1482,True,1482,0.988
220,2007_007355,1487,True,1487,0.9913333333333333
251,2007_008142,1487,True,1487,0.9913333333333333
284,2007_009436,1500,True,1500,1.0
317,2008_000103,1414,True,1414,0.9426666666666667
325,2008_000207,1321,True,1321,0.8806666666666667
331,2008_000273,1500,True,1500,1.0
352,2008_000540,789,True,789,0.526
356,2008_000584,1442,True,1442,0.9613333333333334
358,2008_000595,1500,True,1500,1.0
360,2008_000645,344,True,344,0.22933333333333333
375,2008_000923,1500,True,1500,1.0
400,2008_001462,1500,True,1500,1.0
431,2008_002123,1500,True,1500,1.0
440,2008_002221,784,True,784,0.5226666666666666
444,2008_002258,1472,True,1472,0.9813333333333333
456,2008_002710,1422,True,1422,0.948
469,2008_003060,1497,True,1497,0.998
474,2008_003094,1440,True,1440,0.96
490,2008_003523,1486,True,1486,0.9906666666666667
492,2008_003585,1370,True,1370,0.9133333333333333
520,2008_004547,1295,True,1295,0.8633333333333333
544,2008_005300,1166,True,1166,0.7773333333333333
545,2008_005321,1469,True,1469,0.9793333333333333
552,2008_005600,1495,True,1495,0.9966666666666667
556,2008_005679,1437,True,1437,0.958
565,2008_005843,842,True,842,0.5613333333333334
588,2008_006482,1437,True,1437,0.958
613,2008_007428,888,True,888,0.592
637,2009_000006,1500,True,1500,1.0
664,2009_000553,1197,True,1197,0.798
691,2009_001085,1195,True,1195,0.7966666666666666
699,2009_001140,1500,True,1500,1.0
704,2009_001197,1489,True,1489,0.9926666666666667
705,2009_001203,1369,True,1369,0.9126666666666666
711,2009_001270,1055,True,1055,0.7033333333333334
715,2009_001339,1492,True,1492,0.9946666666666667
724,2009_001481,1500,True,1500,1.0
731,2009_001636,1312,True,1312,0.8746666666666667
732,2009_001640,1204,True,1204,0.8026666666666666
761,2009_002083,1465,True,1465,0.9766666666666667
800,2009_002763,1500,True,1500,1.0
837,2009_003317,1091,True,1091,0.7273333333333334
859,2009_003736,1092,True,1092,0.728
860,2009_003757,1469,True,1469,0.9793333333333333
903,2009_004446,1500,True,1500,1.0
908,2009_004561,1487,True,1487,0.9913333333333333
926,2009_004980,1398,True,1398,0.932
937,2009_005107,1375,True,1375,0.9166666666666666
949,2009_005247,1452,True,1452,0.968
966,2010_000285,467,True,467,0.31133333333333335
979,2010_000588,1341,True,1341,0.894
1039,2010_001852,1406,True,1406,0.9373333333333334
1043,2010_001933,1354,True,1354,0.9026666666666666
1048,2010_002032,1461,True,1461,0.974
1059,2010_002203,1470,True,1470,0.98
1085,2010_002733,1469,True,1469,0.9793333333333333
1103,2010_003017,1406,True,1406,0.9373333333333334
1122,2010_003380,1025,True,1025,0.6833333333333333
1123,2010_003383,1493,True,1493,0.9953333333333333
1128,2010_003634,675,True,675,0.45
1134,2010_003717,1364,True,1364,0.9093333333333333
1143,2010_003925,1120,True,1120,0.7466666666666667
1152,2010_004071,1500,True,1500,1.0
1161,2010_004186,1500,True,1500,1.0
1179,2010_004540,912,True,912,0.608
1187,2010_004683,1470,True,1470,0.98
1201,2010_004960,1500,True,1500,1.0
1211,2010_005128,1464,True,1464,0.976
1243,2010_005723,1350,True,1350,0.9
1272,2011_000006,1479,True,1479,0.986
1273,2011_000025,1498,True,1498,0.9986666666666667
1303,2011_000400,1136,True,1136,0.7573333333333333
1305,2011_000449,1408,True,1408,0.9386666666666666
1324,2011_000652,1423,True,1423,0.9486666666666667
1368,2011_001621,1394,True,1394,0.9293333333333333
1369,2011_001622,1496,True,1496,0.9973333333333333
1385,2011_001895,1443,True,1443,0.962
1390,2011_001928,1412,True,1412,0.9413333333333334
1422,2011_002464,1437,True,1437,0.958
1442,2011_002851,1338,True,1338,0.892
1452,2011_003038,1421,True,1421,0.9473333333333334
1460,2011_003216,772,True,772,0.5146666666666667
