dataset_index,distortion_type,severity_level,parameter_value,clean_keypoints,distorted_keypoints,good_matches,match_accuracy
11,gaussian_noise,mild,10.0,981,1141,692,0.7054026503567788
11,gaussian_noise,medium,25.0,981,1267,434,0.44240570846075433
11,gaussian_noise,severe,50.0,981,1363,219,0.22324159021406728
11,jpeg_compression,mild,50.0,981,955,672,0.7036649214659686
11,jpeg_compression,medium,20.0,981,1008,534,0.5443425076452599
11,jpeg_compression,severe,5.0,981,1293,190,0.19367991845056065
11,low_light,mild,0.6,981,307,297,0.9674267100977199
11,low_light,medium,0.35,981,33,33,1.0
11,low_light,severe,0.15,981,0,0,0.0
31,gaussian_noise,mild,10.0,1449,1442,1266,0.8779472954230236
31,gaussian_noise,medium,25.0,1449,1444,1034,0.7160664819944599
31,gaussian_noise,severe,50.0,1449,1452,668,0.4610075914423741
31,jpeg_compression,mild,50.0,1449,1447,1178,0.8140981340704907
31,jpeg_compression,medium,20.0,1449,1436,1020,0.7103064066852368
31,jpeg_compression,severe,5.0,1449,1465,595,0.4106280193236715
31,low_light,mild,0.6,1449,1277,1161,0.9091620986687549
31,low_light,medium,0.35,1449,885,787,0.8892655367231639
31,low_light,severe,0.15,1449,91,86,0.945054945054945
88,gaussian_noise,mild,10.0,1460,1462,1223,0.8376712328767123
88,gaussian_noise,medium,25.0,1460,1459,973,0.6668951336531871
88,gaussian_noise,severe,50.0,1460,1459,596,0.40849897189856066
88,jpeg_compression,mild,50.0,1460,1455,1148,0.7890034364261168
88,jpeg_compression,medium,20.0,1460,1458,1017,0.6975308641975309
88,jpeg_compression,severe,5.0,1460,1465,562,0.38493150684931504
88,low_light,mild,0.6,1460,1336,1190,0.8907185628742516
88,low_light,medium,0.35,1460,929,747,0.8040904198062433
88,low_light,severe,0.15,1460,45,39,0.8666666666666667
99,gaussian_noise,mild,10.0,1414,1421,1044,0.7383309759547383
99,gaussian_noise,medium,25.0,1414,1430,815,0.5763790664780764
99,gaussian_noise,severe,50.0,1414,1451,547,0.3868458274398868
99,jpeg_compression,mild,50.0,1414,1413,1081,0.7650389242745931
99,jpeg_compression,medium,20.0,1414,1408,958,0.6803977272727273
99,jpeg_compression,severe,5.0,1414,1438,569,0.4024045261669024
99,low_light,mild,0.6,1414,752,705,0.9375
99,low_light,medium,0.35,1414,242,238,0.9834710743801653
99,low_light,severe,0.15,1414,0,0,0.0
127,gaussian_noise,mild,10.0,1500,1500,1312,0.8746666666666667
127,gaussian_noise,medium,25.0,1500,1500,1064,0.7093333333333334
127,gaussian_noise,severe,50.0,1500,1500,750,0.5
127,jpeg_compression,mild,50.0,1500,1500,1252,0.8346666666666667
127,jpeg_compression,medium,20.0,1500,1500,1096,0.7306666666666667
127,jpeg_compression,severe,5.0,1500,1500,692,0.4613333333333333
127,low_light,mild,0.6,1500,1470,1361,0.9258503401360544
127,low_light,medium,0.35,1500,1245,1084,0.8706827309236947
127,low_light,severe,0.15,1500,202,141,0.698019801980198
160,gaussian_noise,mild,10.0,1490,1489,1285,0.8629952988582942
160,gaussian_noise,medium,25.0,1490,1499,1025,0.6879194630872483
160,gaussian_noise,severe,50.0,1490,1500,695,0.4664429530201342
160,jpeg_compression,mild,50.0,1490,1491,1186,0.7959731543624161
160,jpeg_compression,medium,20.0,1490,1496,1012,0.6791946308724832
160,jpeg_compression,severe,5.0,1490,1500,616,0.4134228187919463
160,low_light,mild,0.6,1490,1403,1261,0.8987883107626514
160,low_light,medium,0.35,1490,937,789,0.8420490928495198
160,low_light,severe,0.15,1490,33,33,1.0
165,gaussian_noise,mild,10.0,1495,1494,1342,0.8982597054886211
165,gaussian_noise,medium,25.0,1495,1495,1163,0.7779264214046823
165,gaussian_noise,severe,50.0,1495,1489,922,0.6192075218267293
165,jpeg_compression,mild,50.0,1495,1495,1262,0.8441471571906355
165,jpeg_compression,medium,20.0,1495,1495,1138,0.7612040133779264
165,jpeg_compression,severe,5.0,1495,1500,790,0.5284280936454849
165,low_light,mild,0.6,1495,1455,1354,0.9305841924398626
165,low_light,medium,0.35,1495,1300,1130,0.8692307692307693
165,low_light,severe,0.15,1495,294,245,0.8333333333333334
167,gaussian_noise,mild,10.0,1500,1500,1308,0.872
167,gaussian_noise,medium,25.0,1500,1500,1059,0.706
167,gaussian_noise,severe,50.0,1500,1500,743,0.49533333333333335
167,jpeg_compression,mild,50.0,1500,1500,1210,0.8066666666666666
167,jpeg_compression,medium,20.0,1500,1500,1038,0.692
167,jpeg_compression,severe,5.0,1500,1500,633,0.422
167,low_light,mild,0.6,1500,1460,1370,0.9383561643835616
167,low_light,medium,0.35,1500,1125,970,0.8622222222222222
167,low_light,severe,0.15,1500,60,56,0.9333333333333333
187,gaussian_noise,mild,10.0,1389,1391,1201,0.8646508279337654
187,gaussian_noise,medium,25.0,1389,1397,946,0.6810655147588193
187,gaussian_noise,severe,50.0,1389,1397,617,0.44420446364290855
187,jpeg_compression,mild,50.0,1389,1397,1106,0.7962562994960403
187,jpeg_compression,medium,20.0,1389,1390,925,0.665946724262059
187,jpeg_compression,severe,5.0,1389,1411,512,0.36861051115910726
