dataset_index,image_id,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
11,2007_000363,0,background,118079,120304,0.9815051868599548,False
11,2007_000363,3,bird,36786,39011,0.9429648047986465,True
31,2007_000904,0,background,153178,158636,0.965594190473789,False
31,2007_000904,10,cow,0,3623,0.0,True
31,2007_000904,13,horse,7416,23858,0.3108391315282086,True
31,2007_000904,15,person,360,9613,0.03744928742328097,True
88,2007_002895,0,background,180185,180332,0.9991848368564648,False
88,2007_002895,15,person,5053,5200,0.9717307692307692,True
99,2007_003191,0,background,92360,95090,0.9712903565043642,False
99,2007_003191,7,car,0,2086,0.0,True
99,2007_003191,15,person,65778,66422,0.990304417211165,True
127,2007_004166,0,background,112876,124602,0.9058923612783102,False
127,2007_004166,8,cat,0,872,0.0,True
127,2007_004166,9,chair,4042,5838,0.6923603973963686,True
127,2007_004166,11,diningtable,11934,21305,0.5601501994836893,True
127,2007_004166,12,dog,0,991,0.0,True
127,2007_004166,16,pottedplant,0,1145,0.0,True
127,2007_004166,18,sofa,8095,8143,0.9941053665725162,True
127,2007_004166,20,tvmonitor,2434,2781,0.8752247393024092,True
160,2007_005262,0,background,149562,150136,0.9961767997016039,False
160,2007_005262,6,bus,24466,24730,0.9893247068338051,True
160,2007_005262,7,car,7962,8115,0.9811460258780037,True
160,2007_005262,15,person,0,157,0.0,True
165,2007_005360,0,background,116271,118700,0.979536647009267,False
165,2007_005360,7,car,0,4,0.0,True
165,2007_005360,15,person,0,4,0.0,True
165,2007_005360,19,train,41443,43864,0.9448066751778224,True
167,2007_005430,0,background,158840,163835,0.9695120090334788,False
167,2007_005430,2,bicycle,1495,6426,0.23264861500155617,True
167,2007_005430,5,bottle,0,169,0.0,True
167,2007_005430,15,person,9726,10033,0.9694009767766371,True
187,2007_006281,0,background,136890,144528,0.947152108933909,False
187,2007_006281,4,boat,34122,41760,0.8170977011494253,True
189,2007_006317,0,background,42217,53993,0.7818976533995148,False
189,2007_006317,2,bicycle,5498,15392,0.3571985446985447,True
189,2007_006317,6,bus,97835,103940,0.9412641908793534,True
189,2007_006317,15,person,14824,16175,0.9164760432766615,True
195,2007_006490,0,background,86949,87073,0.9985759075718076,False
195,2007_006490,3,bird,86,107,0.8037383177570093,True
195,2007_006490,4,boat,4647,4744,0.9795531197301856,True
195,2007_006490,15,person,622,628,0.9904458598726115,True
196,2007_006530,0,background,114659,118799,0.9651512218116314,False
196,2007_006530,9,chair,5644,34404,0.16405069178002557,True
196,2007_006530,18,sofa,23248,51658,0.4500367803631577,True
202,2007_006660,0,background,122285,135817,0.9003659335723805,False
202,2007_006660,4,boat,38106,50869,0.7491006310326525,True
202,2007_006660,7,car,18017,18786,0.9590652613648462,True
204,2007_006673,0,background,146146,150145,0.9733657464451031,False
204,2007_006673,4,boat,3826,7827,0.4888207486904306,True
204,2007_006673,15,person,0,4,0.0,True
210,2007_006899,0,background,226082,227309,0.9946020615109828,False
210,2007_006899,10,cow,0,8990,0.0,True
210,2007_006899,12,dog,0,4967,0.0,True
210,2007_006899,17,sheep,0,15072,0.0,True
211,2007_006900,0,background,103484,105580,0.9801477552566774,False
211,2007_006900,7,car,72573,74669,0.9719294486333017,True
214,2007_007021,0,background,62446,83954,0.7438120875717655,False
214,2007_007021,5,bottle,3370,3881,0.8683329038907498,True
214,2007_007021,9,chair,10866,14979,0.7254155818145404,True
214,2007_007021,11,diningtable,75670,89970,0.8410581304879404,True
214,2007_007021,16,pottedplant,0,3268,0.0,True
214,2007_007021,20,tvmonitor,0,16,0.0,True
215,2007_007048,0,background,42116,45017,0.9355576782104539,False
215,2007_007048,5,bottle,0,1439,0.0,True
215,2007_007048,15,person,39559,42001,0.9418585271779243,True
215,2007_007048,17,sheep,64976,67516,0.9623792878725043,True
220,2007_007355,0,background,65060,67297,0.966759290904498,False
220,2007_007355,14,motorbike,77000,79159,0.9727257797597241,True
220,2007_007355,15,person,24991,26791,0.9328132581837184,True
251,2007_008142,0,background,146094,146221,0.9991314517066632,False
251,2007_008142,13,horse,11698,12254,0.9546270605516566,True
251,2007_008142,15,person,2671,3116,0.8571887034659821,True
284,2007_009436,0,background,133781,134965,0.9912273552402475,False
284,2007_009436,15,person,3468,3604,0.9622641509433962,True
284,2007_009436,19,train,28515,29563,0.9645502824476542,True
317,2008_000103,0,background,176830,177720,0.994992122439793,False
317,2008_000103,3,bird,6475,7365,0.8791581805838425,True
325,2008_000207,0,background,134419,135650,0.990925175082934,False
325,2008_000207,15,person,24561,25792,0.9522720223325062,True
331,2008_000273,0,background,101797,144319,0.7053610404728414,False
331,2008_000273,3,bird,0,68,0.0,True
331,2008_000273,9,chair,195,32687,0.005965674427142289,True
331,2008_000273,12,dog,24408,34484,0.7078065189653172,True
352,2008_000540,0,background,146799,147305,0.9965649502732425,False
352,2008_000540,15,person,37013,37519,0.9865134998267544,True
356,2008_000584,0,background,178906,179034,0.9992850520012958,False
356,2008_000584,15,person,6457,6585,0.9805618830675779,True
358,2008_000595,0,background,175802,176921,0.9936751431429848,False
358,2008_000595,7,car,24613,25732,0.9565132908440852,True
360,2008_000645,0,background,53292,57069,0.9338169584187562,False
360,2008_000645,15,person,16412,20189,0.8129179256030512,True
375,2008_000923,0,background,167510,175690,0.9534407194490295,False
375,2008_000923,3,bird,0,848,0.0,True
375,2008_000923,16,pottedplant,10535,17867,0.5896345217439973,True
400,2008_001462,0,background,165234,167597,0.9859007022798737,False
400,2008_001462,3,bird,0,1403,0.0,True
400,2008_001462,15,person,17233,18193,0.9472324520419941,True
431,2008_002123,0,background,102050,103850,0.9826673086181993,False
431,2008_002123,14,motorbike,29299,31346,0.9346966120079117,True
431,2008_002123,15,person,31477,32630,0.9646644192460926,True
440,2008_002221,0,background,174263,174349,0.9995067364883079,False
440,2008_002221,1,aeroplane,9335,9421,0.9908714573824435,True
444,2008_002258,0,background,133337,134263,0.993103088713942,False
444,2008_002258,7,car,27766,29092,0.9544204592327787,True
444,2008_002258,15,person,0,400,0.0,True
456,2008_002710,0,background,151318,151774,0.9969955328317103,False
456,2008_002710,7,car,31868,32324,0.9858928350451677,True
469,2008_003060,0,background,89623,91638,0.9780113053536742,False
469,2008_003060,6,bus,73199,74888,0.9774463198376242,True
469,2008_003060,7,car,13413,13759,0.9748528236063667,True
469,2008_003060,15,person,61,457,0.13347921225382933,True
474,2008_003094,0,background,164259,164412,0.9990694109918984,False
474,2008_003094,10,cow,13201,13347,0.9890612122574362,True
474,2008_003094,15,person,676,769,0.8790637191157347,True
490,2008_003523,0,background,90022,101719,0.8850067342384412,False
490,2008_003523,9,chair,0,142,0.0,True
490,2008_003523,15,person,16693,18233,0.9155377612022157,True
490,2008_003523,16,pottedplant,52456,63103,0.8312758505934742,True
492,2008_003585,0,background,102979,108172,0.9519931220648596,False
