dataset_index,distortion_type,severity_level,parameter_value,class_id,iou
11,gaussian_noise,mild,10.0,0,0.9863264589291987
11,gaussian_noise,mild,10.0,3,0.9582386145947741
11,gaussian_noise,medium,25.0,0,0.9647493517360219
11,gaussian_noise,medium,25.0,3,0.8952950440474433
11,gaussian_noise,severe,50.0,0,0.7755600681252457
11,gaussian_noise,severe,50.0,3,0.11449099320290491
11,jpeg_compression,mild,50.0,0,0.9866324036562092
11,jpeg_compression,mild,50.0,3,0.9592799408449986
11,jpeg_compression,medium,20.0,0,0.8635594209666122
11,jpeg_compression,medium,20.0,3,0.517220013424898
11,jpeg_compression,severe,5.0,0,0.7554774282829039
11,jpeg_compression,severe,5.0,3,0.0
11,jpeg_compression,severe,5.0,8,0.0
11,low_light,mild,0.6,0,0.9645291757722039
11,low_light,mild,0.6,3,0.887898154829399
11,low_light,medium,0.35,0,0.9652583998302899
11,low_light,medium,0.35,3,0.8902181199401846
11,low_light,severe,0.15,0,0.9776366304861566
11,low_light,severe,0.15,3,0.9311779116055936
31,gaussian_noise,mild,10.0,0,0.9777341191879503
31,gaussian_noise,mild,10.0,10,0.4430030361578802
31,gaussian_noise,mild,10.0,13,0.3077865184417542
31,gaussian_noise,mild,10.0,15,0.0
31,gaussian_noise,medium,25.0,0,0.9483134601250098
31,gaussian_noise,medium,25.0,10,0.9527117285599787
31,gaussian_noise,medium,25.0,12,0.0
31,gaussian_noise,medium,25.0,13,0.05648267008985879
31,gaussian_noise,medium,25.0,15,0.0
31,gaussian_noise,severe,50.0,0,0.9122657012740515
31,gaussian_noise,severe,50.0,10,0.33765984039996155
31,gaussian_noise,severe,50.0,13,0.0
31,gaussian_noise,severe,50.0,15,0.12767066180302242
31,jpeg_compression,mild,50.0,0,0.9696128423040604
31,jpeg_compression,mild,50.0,10,0.004140215291195142
31,jpeg_compression,mild,50.0,13,0.2683585313174946
31,jpeg_compression,mild,50.0,15,0.002392593363154062
31,jpeg_compression,medium,20.0,0,0.9518095075406315
31,jpeg_compression,medium,20.0,10,0.5733990147783251
31,jpeg_compression,medium,20.0,13,0.00541066326220439
31,jpeg_compression,medium,20.0,15,0.09173935351462288
31,jpeg_compression,severe,5.0,0,0.8940403797482851
31,jpeg_compression,severe,5.0,10,0.0
31,jpeg_compression,severe,5.0,12,0.0
31,jpeg_compression,severe,5.0,13,0.0
31,jpeg_compression,severe,5.0,15,0.0
31,low_light,mild,0.6,0,0.9579703490310285
31,low_light,mild,0.6,10,0.0016560861164780568
31,low_light,mild,0.6,13,0.2657270675798725
31,low_light,mild,0.6,15,0.019452824300426507
31,low_light,medium,0.35,0,0.9580120773402203
31,low_light,medium,0.35,10,0.0
