dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,class_id,class_name,intersection_pixels,union_pixels,iou,is_foreground
11,2007_000363,gaussian_noise,mild,10.0,23.892595577342878,0,background,117939,119574,0.9863264589291987,False
11,2007_000363,gaussian_noise,mild,10.0,23.892595577342878,3,bird,37516,39151,0.9582386145947741,True
11,2007_000363,gaussian_noise,medium,25.0,16.127915441235,0,background,116452,120707,0.9647493517360219,False
11,2007_000363,gaussian_noise,medium,25.0,16.127915441235,3,bird,36383,40638,0.8952950440474433,True
11,2007_000363,gaussian_noise,severe,50.0,10.542400491133147,0,background,118397,152660,0.7755600681252457,False
11,2007_000363,gaussian_noise,severe,50.0,10.542400491133147,3,bird,4430,38693,0.11449099320290491,True
11,2007_000363,jpeg_compression,mild,50.0,30.42047068889568,0,background,117871,119468,0.9866324036562092,False
11,2007_000363,jpeg_compression,mild,50.0,30.42047068889568,3,bird,37622,39219,0.9592799408449986,True
11,2007_000363,jpeg_compression,medium,20.0,27.612431774910903,0,background,118356,137056,0.8635594209666122,False
11,2007_000363,jpeg_compression,medium,20.0,27.612431774910903,3,bird,20034,38734,0.517220013424898,True
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,0,background,100996,133685,0.7554774282829039,False
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,3,bird,0,38693,0.0,True
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,8,cat,0,40806,0.0,True
11,2007_000363,low_light,mild,0.6,7.92907433661893,0,background,118286,122636,0.9645291757722039,False
11,2007_000363,low_light,mild,0.6,7.92907433661893,3,bird,34454,38804,0.887898154829399,True
11,2007_000363,low_light,medium,0.35,3.7122772204443333,0,background,118304,122562,0.9652583998302899,False
11,2007_000363,low_light,medium,0.35,3.7122772204443333,3,bird,34528,38786,0.8902181199401846,True
11,2007_000363,low_light,severe,0.15,1.3892853182377176,0,background,117902,120599,0.9776366304861566,False
11,2007_000363,low_light,severe,0.15,1.3892853182377176,3,bird,36491,39188,0.9311779116055936,True
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,0,background,155272,158808,0.9777341191879503,False
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,10,cow,1605,3623,0.4430030361578802,True
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,13,horse,6534,21229,0.3077865184417542,True
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,15,person,0,9613,0.0,True
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,0,background,156118,164627,0.9483134601250098,False
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,10,cow,3566,3743,0.9527117285599787,True
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,12,dog,0,88,0.0,True
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,13,horse,1012,17917,0.05648267008985879,True
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,15,person,0,9613,0.0,True
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,0,background,150439,164907,0.9122657012740515,False
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,10,cow,3512,10401,0.33765984039996155,True
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,13,horse,0,10113,0.0,True
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,15,person,1960,15352,0.12767066180302242,True
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,0,background,154023,158850,0.9696128423040604,False
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,10,cow,15,3623,0.004140215291195142,True
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,13,horse,6461,24076,0.2683585313174946,True
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,15,person,23,9613,0.002392593363154062,True
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,0,background,156013,163912,0.9518095075406315,False
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,10,cow,3492,6090,0.5733990147783251,True
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,13,horse,89,16449,0.00541066326220439,True
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,15,person,894,9745,0.09173935351462288,True
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,0,background,156137,174642,0.8940403797482851,False
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,10,cow,0,3623,0.0,True
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,12,dog,0,3702,0.0,True
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,13,horse,0,8967,0.0,True
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,15,person,0,9613,0.0,True
31,2007_000904,low_light,mild,0.6,7.910607546759138,0,background,152301,158983,0.9579703490310285,False
31,2007_000904,low_light,mild,0.6,7.910607546759138,10,cow,6,3623,0.0016560861164780568,True
31,2007_000904,low_light,mild,0.6,7.910607546759138,13,horse,6712,25259,0.2657270675798725,True
31,2007_000904,low_light,mild,0.6,7.910607546759138,15,person,187,9613,0.019452824300426507,True
31,2007_000904,low_light,medium,0.35,3.7035795470484345,0,background,152459,159141,0.9580120773402203,False
31,2007_000904,low_light,medium,0.35,3.7035795470484345,10,cow,0,3623,0.0,True
31,2007_000904,low_light,medium,0.35,3.7035795470484345,13,horse,6209,25175,0.2466335650446872,True
31,2007_000904,low_light,medium,0.35,3.7035795470484345,15,person,464,9613,0.048267970456673255,True
31,2007_000904,low_light,severe,0.15,1.3830270819092592,0,background,156058,161796,0.9645355880244258,False
31,2007_000904,low_light,severe,0.15,1.3830270819092592,10,cow,19,3623,0.005244272702180514,True
31,2007_000904,low_light,severe,0.15,1.3830270819092592,13,horse,3664,21442,0.1708795821285328,True
31,2007_000904,low_light,severe,0.15,1.3830270819092592,15,person,469,9613,0.04878809944866327,True
88,2007_002895,gaussian_noise,mild,10.0,23.437240101675698,0,background,180183,180309,0.9993011996073408,False
88,2007_002895,gaussian_noise,mild,10.0,23.437240101675698,15,person,5076,5202,0.9757785467128027,True
88,2007_002895,gaussian_noise,medium,25.0,15.636114259161042,0,background,180179,180334,0.9991404837690064,False
88,2007_002895,gaussian_noise,medium,25.0,15.636114259161042,15,person,5051,5206,0.9702266615443719,True
88,2007_002895,gaussian_noise,severe,50.0,9.931906971637837,0,background,180181,180420,0.9986753131581865,False
88,2007_002895,gaussian_noise,severe,50.0,9.931906971637837,15,person,4965,5204,0.9540737893927748,True
88,2007_002895,jpeg_compression,mild,50.0,24.502196175048265,0,background,180192,180324,0.9992679842949358,False
88,2007_002895,jpeg_compression,mild,50.0,24.502196175048265,15,person,5061,5193,0.974581166955517,True
88,2007_002895,jpeg_compression,medium,20.0,21.610210270589654,0,background,180186,180314,0.9992901272225119,False
88,2007_002895,jpeg_compression,medium,20.0,21.610210270589654,15,person,5071,5199,0.9753798807462973,True
88,2007_002895,jpeg_compression,severe,5.0,17.79739800291545,0,background,180183,180468,0.9984207726577565,False
88,2007_002895,jpeg_compression,severe,5.0,17.79739800291545,15,person,4917,5202,0.9452133794694348,True
88,2007_002895,low_light,mild,0.6,7.9239748430724335,0,background,180184,180330,0.9991903732046803,False
88,2007_002895,low_light,mild,0.6,7.9239748430724335,15,person,5055,5201,0.9719284752932128,True
88,2007_002895,low_light,medium,0.35,3.7093689597583794,0,background,180186,180344,0.9991238965532537,False
88,2007_002895,low_light,medium,0.35,3.7093689597583794,15,person,5041,5199,0.9696095402962108,True
88,2007_002895,low_light,severe,0.15,1.3870771014278818,0,background,180182,180279,0.999461945096212,False
88,2007_002895,low_light,severe,0.15,1.3870771014278818,15,person,5106,5203,0.9813569094753027,True
99,2007_003191,gaussian_noise,mild,10.0,22.318692381321892,0,background,94538,95092,0.9941740630126614,False
99,2007_003191,gaussian_noise,mild,10.0,22.318692381321892,15,person,65776,66330,0.9916478214985678,True
99,2007_003191,gaussian_noise,medium,25.0,14.522058195395946,0,background,94487,95146,0.9930738023668888,False
99,2007_003191,gaussian_noise,medium,25.0,14.522058195395946,15,person,65722,66381,0.9900724604932134,True
99,2007_003191,gaussian_noise,severe,50.0,8.902644599899238,0,background,94483,95152,0.992969144106272,False
99,2007_003191,gaussian_noise,severe,50.0,8.902644599899238,15,person,65716,66385,0.9899224222339383,True
99,2007_003191,jpeg_compression,mild,50.0,27.926754187313662,0,background,94472,95092,0.993479998317419,False
99,2007_003191,jpeg_compression,mild,50.0,27.926754187313662,15,person,65776,66396,0.990662088077595,True
99,2007_003191,jpeg_compression,medium,20.0,24.9295627319646,0,background,94441,95083,0.9932480043751248,False
99,2007_003191,jpeg_compression,medium,20.0,24.9295627319646,15,person,65785,66427,0.9903352552425971,True
99,2007_003191,jpeg_compression,severe,5.0,18.677966926383473,0,background,94624,96081,0.984835711535059,False
99,2007_003191,jpeg_compression,severe,5.0,18.677966926383473,15,person,64787,66244,0.9780055552200954,True
99,2007_003191,low_light,mild,0.6,7.899995056330299,0,background,94061,95088,0.9891994783779237,False
99,2007_003191,low_light,mild,0.6,7.899995056330299,7,car,0,411,0.0,True
99,2007_003191,low_light,mild,0.6,7.899995056330299,15,person,65780,66396,0.9907223326706428,True
99,2007_003191,low_light,medium,0.35,3.698218918717087,0,background,94507,95094,0.9938271604938271,False
99,2007_003191,low_light,medium,0.35,3.698218918717087,15,person,65774,66361,0.9911544431217131,True
99,2007_003191,low_light,severe,0.15,1.3784405733369836,0,background,94537,95097,0.9941112758551794,False
99,2007_003191,low_light,severe,0.15,1.3784405733369836,15,person,65771,66331,0.9915574919720794,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,0,background,112559,130673,0.8613791678464564,False
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,8,cat,0,883,0.0,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,9,chair,3690,6030,0.6119402985074627,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,11,diningtable,6232,21277,0.29289843492973633,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,12,dog,0,991,0.0,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,16,pottedplant,0,1261,0.0,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,18,sofa,8091,8149,0.9928825622775801,True
127,2007_004166,gaussian_noise,mild,10.0,21.186902645623725,20,tvmonitor,2441,2781,0.8777418194893923,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,0,background,113162,140327,0.8064164415971267,False
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,8,cat,0,721,0.0,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,9,chair,900,4676,0.1924721984602224,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,11,diningtable,49,21276,0.0023030644858056024,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,12,dog,0,991,0.0,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,16,pottedplant,0,1525,0.0,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,18,sofa,8045,8167,0.9850618342108486,True
127,2007_004166,gaussian_noise,medium,25.0,13.507431555745665,20,tvmonitor,2438,2781,0.8766630708378281,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,0,background,114861,149688,0.7673360590027257,False
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,9,chair,79,4524,0.017462422634836428,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,11,diningtable,0,21276,0.0,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,12,dog,0,991,0.0,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,15,person,0,374,0.0,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,18,sofa,0,8096,0.0,True
127,2007_004166,gaussian_noise,severe,50.0,8.018733546614257,20,tvmonitor,2388,2781,0.8586839266450917,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,0,background,109267,128639,0.8494080333335925,False
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,8,cat,0,860,0.0,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,9,chair,3596,5088,0.7067610062893082,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,11,diningtable,8405,21305,0.3945083313776109,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,12,dog,0,991,0.0,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,16,pottedplant,0,5470,0.0,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,18,sofa,8092,8145,0.9934929404542664,True
127,2007_004166,jpeg_compression,mild,50.0,19.562702529629362,20,tvmonitor,2419,2781,0.8698309960445882,True
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,0,background,110615,135032,0.8191761952722317,False
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,8,cat,0,389,0.0,True
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,9,chair,2537,4961,0.5113888328965934,True
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,11,diningtable,3721,21276,0.17489189697311525,True
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,12,dog,0,991,0.0,True
127,2007_004166,jpeg_compression,medium,20.0,16.501831667903954,16,pottedplant,0,4347,0.0,True
