dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,mean_iou_all_classes,mean_iou_foreground,num_evaluated_classes,num_evaluated_foreground_classes
11,2007_000363,gaussian_noise,mild,10.0,23.892595577342878,0.9722825367619864,0.9582386145947741,2,1
11,2007_000363,gaussian_noise,medium,25.0,16.127915441235,0.9300221978917327,0.8952950440474433,2,1
11,2007_000363,gaussian_noise,severe,50.0,10.542400491133147,0.4450255306640753,0.11449099320290491,2,1
11,2007_000363,jpeg_compression,mild,50.0,30.42047068889568,0.9729561722506039,0.9592799408449986,2,1
11,2007_000363,jpeg_compression,medium,20.0,27.612431774910903,0.6903897171957551,0.517220013424898,2,1
11,2007_000363,jpeg_compression,severe,5.0,21.4703534884383,0.2518258094276346,0.0,3,2
11,2007_000363,low_light,mild,0.6,7.92907433661893,0.9262136653008015,0.887898154829399,2,1
11,2007_000363,low_light,medium,0.35,3.7122772204443333,0.9277382598852373,0.8902181199401846,2,1
11,2007_000363,low_light,severe,0.15,1.3892853182377176,0.9544072710458751,0.9311779116055936,2,1
31,2007_000904,gaussian_noise,mild,10.0,22.90566213074292,0.4321309184468962,0.2502631848665448,4,3
31,2007_000904,gaussian_noise,medium,25.0,15.192157051086632,0.39150157175496947,0.2522985996624594,5,4
31,2007_000904,gaussian_noise,severe,50.0,9.68520743372249,0.3443990508692588,0.15511016740099468,4,3
31,2007_000904,jpeg_compression,mild,50.0,22.596106954592315,0.31112604556897605,0.09163044665728126,4,3
31,2007_000904,jpeg_compression,medium,20.0,19.685478088986955,0.405589634773946,0.22351634385171748,4,3
31,2007_000904,jpeg_compression,severe,5.0,16.1705452046552,0.17880807594965703,0.0,5,4
31,2007_000904,low_light,mild,0.6,7.910607546759138,0.3112015817569514,0.09561199266559235,4,3
31,2007_000904,low_light,medium,0.35,3.7035795470484345,0.3132284032103952,0.09830051183378681,4,3
31,2007_000904,low_light,severe,0.15,1.3830270819092592,0.2973618855759506,0.07497065142645885,4,3
88,2007_002895,gaussian_noise,mild,10.0,23.437240101675698,0.9875398731600717,0.9757785467128027,2,1
88,2007_002895,gaussian_noise,medium,25.0,15.636114259161042,0.9846835726566892,0.9702266615443719,2,1
